http://www.nytimes.com/2012/03/26/movies/hunger-games-breaks-box-office-records.html	Hunger Games Breaks Box-Office Records	LOS ANGELES &mdash; &ldquo;The Hunger Games&rdquo; hit the box-office bull&rsquo;s-eye over the weekend, taking in a record $155 million in North America and setting up what promises to be one of the biggest film franchises of this decade. Backed by a meticulously executed marketing campaign from Lionsgate, &ldquo;The Hunger Games&rdquo; was a
http://www.nytimes.com/2012/03/25/theater/amy-herzogs-4000-miles-at-mitzi-e-newhouse-theater.html	Amy Herzogs 4000 Miles at Mitzi E. Newhouse Theater	SNACKING on pastries and tea at her cloth-covered dining table, Leepee Joseph, 95, worked to put into words the odd experience of seeing her longtime home, a light-filled apartment on the eighth floor of a sturdy brick building on West 10th Street in Greenwich Village, recreated onstage in the play &ldquo;4000 Miles.&rdquo; &ldquo;I suddenly
http://www.nytimes.com/2012/03/25/theater/elena-roger-brings-native-touch-to-broadway-evita.html	Elena Roger Brings Native Touch to Broadway Evita	EVITAS tend to be formidable women &mdash; Patti LuPone, Madonna, Elaine Paige &mdash; so Elena Roger, the Argentine actress who stars in the Broadway revival that opens April 5, stuns at first glimpse. Dramatically collapsed on the floor of a rehearsal hall (no worries, it&rsquo;s the part of the script where Evita is not feeling so good), Ms.
http://www.nytimes.com/2012/03/25/theater/rick-miller-talks-about-his-machomer.html	Rick Miller Talks About His MacHomer	THERE are a few Simpsonisms &mdash; Ned Flanders&rsquo;s &ldquo;okely-dokely&rdquo; and, of course the famed &ldquo;d&rsquo;oh&rdquo; &mdash; in Rick Miller&rsquo;s &ldquo;MacHomer,&rdquo; a one-man show in which he puts Shakespeare &rsquo;s words into the mouths of Homer, Marge and 50 other characters from &ldquo;The Simpsons.&rdquo; But Mr.
http://www.nytimes.com/2012/03/25/movies/the-wwe-enters-into-partnerships-with-movie-studios.html	The WWE Enters Into Partnerships With Movie Studios	STAMFORD, Conn. EXCEPT for the buccaneerish black flag fluttering in the breeze off Long Island Sound, the headquarters of World Wrestling Entertainment here looks like any other corporate office park on the I-95 corridor. Trim. Tidy. Quiet. But there are a few indications that this isn&rsquo;t your usual button-down workplace. Like the 200-pound
http://www.nytimes.com/2012/03/25/movies/mirror-mirror-grimm-and-hollywood-love-for-fairy-tales.html	Mirror Mirror, Grimm and Hollywood Love for Fairy Tales	Fairy tales can come true, the old song goes; it can happen to you, apparently, if you&rsquo;re young at heart. Whether one believes this hopeful sentiment, and regardless of the age of one&rsquo;s internal organs, there&rsquo;s no doubt that fairy tales have for the past couple of years &mdash; and into the foreseeable future &mdash; been coming
http://www.nytimes.com/2012/03/25/movies/finding-the-right-wig-for-the-role-on-screen.html	Finding the Right Wig for the Role on Screen	FROM the first Shakespearean performer ever cast as Ophelia, wigs have been a necessary staple in the toolbox of props that aid an actor in assuming a character. They&rsquo;ve allowed Elizabeth Taylor her austere and almost incomprehensibly silky Cleopatra hair, Cher her dowdiness and her dazzle in &ldquo;Moonstruck,&rdquo; and Steve Van Zandt a
http://www.nytimes.com/2012/03/25/movies/god-save-my-shoes-a-documentary-about-high-heels.html	God Save My Shoes, a Documentary About High Heels	Bryn Mawr, Pa. BETH SHAK teetered around her Main Line home here one day this winter in taxi-to-table shoes, stiletto heels so preposterously high that she usually staggers no farther than between a car door and restaurant seat. &ldquo;I once dated a very frugal guy in New York City who expected me to walk 16 blocks to dinner in seven-inch
http://www.nytimes.com/2012/03/25/movies/homevideo/john-fords-fort-apache-on-blu-ray-from-warner-home-video.html	DVD; John Fords Fort Apache on Blu-ray From Warner Home Video	FOR his 1948 &ldquo;Fort Apache,&rdquo; the first movie in his celebrated cavalry trilogy, John Ford brought together four of the five leading men most closely associated with his career: George O&rsquo;Brien, the star of &ldquo;The Iron Horse&rdquo; (1924), Ford&rsquo;s first major critical and commercial success; Victor McLaglen, whose 12 films
http://www.nytimes.com/2012/03/25/arts/cris-alexander-actor-and-photographer-dies-at-92.html	Cris Alexander, Actor and Photographer, Dies at 92	New Yorkers tend to believe that creative people trapped in America&rsquo;s hinterlands hunger to come to their big, pulsating city to fulfill their dreams. In the case of Cris Alexander, it was true. &ldquo;I came to New York because I thought they were waiting for me,&rdquo; he once said, recalling how he fled Tulsa, Okla., in 1938 with a high
